Journey_ID,Ticket_ID,Date_of_Journey,Departure_Station,Departure_Station,Departure_Time,Arrival_Time,Actual_Arrival_Time,Journey_Status,Reason_for_Delay
9462,9464,2/4/2024,Liverpool Lime Street,London Euston,00:00.0,15:00.0,NULL,Cancelled,Weather
9463,9465,2/4/2024,Liverpool Lime Street,London Euston,00:00.0,15:00.0,NULL,Cancelled,Weather
9464,9466,2/5/2024,London Euston,Manchester Piccadilly,45:00.0,35:00.0,35:00.0,On-time,NULL
9465,9467,2/9/2024,London Kings Cross,Liverpool Lime Street,15:00.0,30:00.0,30:00.0,On-time,NULL
9466,9468,2/16/2024,London Euston,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
9467,9469,2/13/2024,London Euston,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
9468,9470,2/23/2024,London Euston,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
9469,9471,2/4/2024,Manchester Piccadilly,Sheffield,15:00.0,00:00.0,00:00.0,On-time,NULL
9470,9472,2/25/2024,Manchester Piccadilly,Leeds,15:00.0,00:00.0,00:00.0,On-time,NULL
9471,9473,2/27/2024,Manchester Piccadilly,Liverpool Lime Street,30:00.0,00:00.0,00:00.0,On-time,NULL
9472,9474,2/24/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
9473,9475,2/4/2024,Liverpool Lime Street,Manchester Piccadilly,45:00.0,15:00.0,15:00.0,On-time,NULL
9474,9476,2/4/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9475,9477,2/4/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
9476,9478,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9477,9479,2/17/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9478,9480,2/4/2024,Liverpool Lime Street,London Paddington,45:00.0,15:00.0,15:00.0,On-time,NULL
9479,9481,2/16/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
9480,9482,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
9481,9483,2/3/2024,Liverpool Lime Street,Manchester Piccadilly,00:00.0,30:00.0,30:00.0,On-time,NULL
9482,9484,2/4/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9483,9485,2/7/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9484,9486,2/8/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9485,9487,2/4/2024,London Paddington,Reading,00:00.0,00:00.0,00:00.0,On-time,NULL
9486,9488,2/27/2024,Liverpool Lime Street,Manchester Piccadilly,00:00.0,30:00.0,30:00.0,On-time,NULL
9487,9489,2/3/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
9488,9490,2/27/2024,London Paddington,Reading,00:00.0,00:00.0,00:00.0,On-time,NULL
9489,9491,2/26/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9490,9492,2/4/2024,Manchester Piccadilly,Nottingham,00:00.0,00:00.0,35:00.0,Delayed,Signal Failure
9491,9493,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
9492,9494,2/3/2024,Birmingham New Street,Manchester Piccadilly,15:00.0,35:00.0,53:00.0,Delayed,Technical Issue
9493,9495,2/19/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
9494,9496,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
9495,9497,2/27/2024,London Kings Cross,York,45:00.0,35:00.0,47:00.0,Delayed,Signal Failure
9496,9498,2/3/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
9497,9499,2/20/2024,London Kings Cross,York,45:00.0,35:00.0,48:00.0,Delayed,Signal Failure
9498,9500,2/3/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
9499,9501,2/3/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
9500,9502,2/3/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
9501,9503,2/3/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
9502,9504,2/3/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
9503,9505,2/3/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,45:00.0,On-time,NULL
9504,9506,2/4/2024,London Paddington,Reading,15:00.0,15:00.0,15:00.0,On-time,NULL
9505,9507,2/4/2024,Birmingham New Street,Manchester Piccadilly,15:00.0,35:00.0,19:00.0,Delayed,Technical Issue
9506,9508,2/3/2024,London Euston,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
9507,9509,2/11/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,46:00.0,Delayed,Technical Issue
9508,9510,2/11/2024,Birmingham New Street,Manchester Piccadilly,15:00.0,35:00.0,17:00.0,Delayed,Technical Issue
9509,9511,2/7/2024,London Euston,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
9510,9512,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9511,9513,2/12/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9512,9514,2/3/2024,Liverpool Lime Street,Sheffield,45:00.0,00:00.0,00:00.0,On-time,NULL
9513,9515,2/17/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9514,9516,2/7/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9515,9517,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
9516,9518,2/20/2024,London St Pancras,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
9517,9519,2/3/2024,London Paddington,Reading,15:00.0,15:00.0,15:00.0,On-time,NULL
9518,9520,2/10/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,45:00.0,On-time,NULL
9519,9521,2/3/2024,London Paddington,Reading,30:00.0,30:00.0,30:00.0,On-time,NULL
9520,9522,2/28/2024,London Euston,Birmingham New Street,30:00.0,50:00.0,NULL,Cancelled,Signal failure
9521,9523,2/8/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9522,9524,2/13/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
9523,9525,2/8/2024,London Kings Cross,York,30:00.0,20:00.0,20:00.0,On-time,NULL
9524,9526,2/4/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9525,9527,2/3/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9526,9528,2/4/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9527,9529,2/11/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
9528,9530,2/9/2024,Liverpool Lime Street,Manchester Piccadilly,00:00.0,30:00.0,30:00.0,On-time,NULL
9529,9531,2/4/2024,London Kings Cross,York,30:00.0,20:00.0,20:00.0,On-time,NULL
9530,9532,2/12/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9531,9533,2/26/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9532,9534,2/21/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,45:00.0,On-time,NULL
9533,9535,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,30:00.0,00:00.0,00:00.0,On-time,NULL
9534,9536,2/25/2024,London St Pancras,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
9535,9537,2/12/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9536,9538,2/10/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
9537,9539,2/3/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
9538,9540,2/3/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9539,9541,2/4/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
9540,9542,2/3/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9541,9543,2/3/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
9542,9544,2/3/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
9543,9545,2/3/2024,London Paddington,Reading,00:00.0,00:00.0,00:00.0,On-time,NULL
9544,9546,2/3/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9545,9547,2/4/2024,York,Edinburgh Waverley,00:00.0,30:00.0,30:00.0,On-time,NULL
9546,9548,2/3/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9547,9549,2/22/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
9548,9550,2/3/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9549,9551,2/12/2024,London Euston,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
9550,9552,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
9551,9553,2/20/2024,London Euston,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
9552,9554,2/4/2024,Liverpool Lime Street,London Euston,30:00.0,45:00.0,01:00.0,Delayed,Traffic
9553,9555,2/3/2024,London Euston,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
9554,9556,2/3/2024,London Kings Cross,York,15:00.0,05:00.0,05:00.0,On-time,NULL
9555,9557,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
9556,9558,2/4/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,45:00.0,On-time,NULL
9557,9559,2/4/2024,London Euston,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
9558,9560,2/6/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
9559,9561,2/19/2024,Manchester Piccadilly,London Euston,30:00.0,20:00.0,45:00.0,Delayed,Traffic
9560,9562,2/27/2024,Manchester Piccadilly,Liverpool Lime Street,30:00.0,00:00.0,00:00.0,On-time,NULL
9561,9563,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,30:00.0,00:00.0,00:00.0,On-time,NULL
9562,9564,2/3/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
9563,9565,2/20/2024,York,Edinburgh,45:00.0,15:00.0,15:00.0,On-time,NULL
9564,9566,2/4/2024,Manchester Piccadilly,London Paddington,45:00.0,00:00.0,00:00.0,On-time,NULL
9565,9567,2/3/2024,London Kings Cross,York,00:00.0,50:00.0,50:00.0,On-time,NULL
9566,9568,2/3/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9567,9569,2/3/2024,London Paddington,Reading,00:00.0,00:00.0,00:00.0,On-time,NULL
9568,9570,2/3/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
9569,9571,2/3/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9570,9572,2/3/2024,London Kings Cross,York,15:00.0,05:00.0,05:00.0,On-time,NULL
9571,9573,2/28/2024,London Euston,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
9572,9574,2/3/2024,Manchester Piccadilly,Liverpool Lime Street,30:00.0,00:00.0,00:00.0,On-time,NULL
9573,9575,2/4/2024,Edinburgh Waverley,London Kings Cross,30:00.0,50:00.0,08:00.0,Delayed,Staffing
9574,9576,2/3/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,NULL,Cancelled,Staffing
9575,9577,2/29/2024,Edinburgh Waverley,London Kings Cross,30:00.0,50:00.0,55:00.0,Delayed,Staffing
9576,9578,2/3/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,NULL,Cancelled,Staffing
9577,9579,2/3/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,NULL,Cancelled,Staffing
9578,9580,2/3/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,NULL,Cancelled,Signal Failure
9579,9581,2/3/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,NULL,Cancelled,Signal Failure
9580,9582,2/21/2024,Edinburgh Waverley,London Kings Cross,30:00.0,50:00.0,03:00.0,Delayed,Staffing
9581,9583,2/4/2024,London St Pancras,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
9582,9584,2/3/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
9583,9585,2/3/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9584,9586,2/3/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9585,9587,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9586,9588,2/11/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9587,9589,2/9/2024,London Paddington,Reading,00:00.0,00:00.0,00:00.0,On-time,NULL
9588,9590,2/10/2024,London Paddington,Reading,00:00.0,00:00.0,00:00.0,On-time,NULL
9589,9591,2/3/2024,London Euston,Manchester Piccadilly,00:00.0,50:00.0,50:00.0,On-time,NULL
9590,9592,2/20/2024,London St Pancras,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
9591,9593,2/3/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,45:00.0,On-time,NULL
9592,9594,2/3/2024,Liverpool Lime Street,London Euston,30:00.0,45:00.0,55:00.0,Delayed,Technical Issue
9593,9595,2/3/2024,Manchester Piccadilly,London Euston,30:00.0,20:00.0,28:00.0,Delayed,Technical Issue
9594,9596,2/4/2024,Liverpool Lime Street,Manchester Piccadilly,45:00.0,15:00.0,15:00.0,On-time,NULL
9595,9597,2/3/2024,Birmingham New Street,Coventry,45:00.0,05:00.0,05:00.0,On-time,NULL
9596,9598,2/17/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9597,9599,2/3/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9598,9600,2/3/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9599,9601,2/3/2024,Birmingham New Street,Nuneaton,45:00.0,05:00.0,05:00.0,On-time,NULL
9600,9602,2/3/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9601,9603,2/12/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9602,9604,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9603,9605,2/17/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
9604,9606,2/3/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9605,9607,2/4/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9606,9608,2/24/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9607,9609,2/3/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
9608,9610,2/7/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9609,9611,2/29/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,13:00.0,Delayed,Signal failure
9610,9612,2/15/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
9611,9613,2/10/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,35:00.0,Delayed,Signal failure
9612,9614,2/4/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9613,9615,2/4/2024,London Paddington,Reading,00:00.0,00:00.0,00:00.0,On-time,NULL
9614,9616,2/23/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9615,9617,2/3/2024,London Paddington,Reading,00:00.0,00:00.0,00:00.0,On-time,NULL
9616,9618,2/4/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9617,9619,2/29/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9618,9620,2/21/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9619,9621,2/4/2024,Birmingham New Street,Manchester Piccadilly,15:00.0,35:00.0,NULL,Cancelled,Signal failure
9620,9622,2/5/2024,London St Pancras,Leicester,15:00.0,15:00.0,15:00.0,On-time,NULL
9621,9623,2/6/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
9622,9624,2/25/2024,Birmingham New Street,Manchester Piccadilly,15:00.0,35:00.0,35:00.0,On-time,NULL
9623,9625,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
9624,9626,2/14/2024,London St Pancras,Leicester,15:00.0,15:00.0,15:00.0,On-time,NULL
9625,9627,2/4/2024,Birmingham New Street,Manchester Piccadilly,15:00.0,35:00.0,NULL,Cancelled,Signal failure
9626,9628,2/3/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
9627,9629,2/18/2024,Liverpool Lime Street,London Euston,30:00.0,45:00.0,57:00.0,Delayed,Technical Issue
9628,9630,2/10/2024,Manchester Piccadilly,London Kings Cross,30:00.0,45:00.0,45:00.0,On-time,NULL
9629,9631,2/12/2024,Manchester Piccadilly,London Euston,30:00.0,20:00.0,40:00.0,Delayed,Technical Issue
9630,9632,2/26/2024,Liverpool Lime Street,London Euston,30:00.0,45:00.0,04:00.0,Delayed,Technical Issue
9631,9633,2/3/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9632,9634,2/4/2024,London Euston,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
9633,9635,2/3/2024,Birmingham New Street,London Euston,00:00.0,20:00.0,NULL,Cancelled,Staff Shortage
9634,9636,2/20/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
9635,9637,2/12/2024,London St Pancras,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9636,9638,2/19/2024,Manchester Piccadilly,Liverpool Lime Street,00:00.0,30:00.0,30:00.0,On-time,NULL
9637,9639,2/29/2024,London Euston,Birmingham New Street,00:00.0,20:00.0,20:00.0,On-time,NULL
9638,9640,2/3/2024,London Euston,Manchester Piccadilly,15:00.0,05:00.0,05:00.0,On-time,NULL
9639,9641,2/3/2024,Manchester Piccadilly,Liverpool Lime Street,15:00.0,45:00.0,45:00.0,On-time,NULL
9640,9642,2/4/2024,Liverpool Lime Street,London Euston,15:00.0,30:00.0,30:00.0,On-time,NULL
9641,9643,2/4/2024,London Kings Cross,York,15:00.0,05:00.0,05:00.0,On-time,NULL
9642,9644,2/4/2024,London Kings Cross,York,15:00.0,05:00.0,05:00.0,On-time,NULL
9643,9645,2/4/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,45:00.0,On-time,NULL
9644,9646,2/20/2024,London Kings Cross,York,15:00.0,05:00.0,05:00.0,On-time,NULL
9645,9647,2/29/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,45:00.0,On-time,NULL
9646,9648,2/4/2024,Liverpool Lime Street,Manchester Piccadilly,30:00.0,00:00.0,00:00.0,On-time,NULL
9647,9649,2/14/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9648,9650,2/4/2024,London St Pancras,Leicester,45:00.0,45:00.0,45:00.0,On-time,NULL
9649,9651,2/28/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9650,9652,2/15/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9651,9653,2/13/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9652,9654,2/18/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9653,9655,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9654,9656,2/10/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9655,9657,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9656,9658,2/4/2024,London St Pancras,Leicester,45:00.0,45:00.0,45:00.0,On-time,NULL
9657,9659,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9658,9660,2/7/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9659,9661,2/4/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9660,9662,2/4/2024,London St Pancras,Leicester,45:00.0,45:00.0,45:00.0,On-time,NULL
9661,9663,2/22/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9662,9664,2/18/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9663,9665,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,00:00.0,Delayed,Weather Conditions
9664,9666,2/13/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9665,9667,2/5/2024,London Kings Cross,York,45:00.0,35:00.0,51:00.0,Delayed,Signal failure
9666,9668,2/9/2024,London Euston,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9667,9669,2/6/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9668,9670,2/28/2024,London St Pancras,Birmingham New Street,15:00.0,35:00.0,35:00.0,On-time,NULL
9669,9671,2/16/2024,Liverpool Lime Street,Manchester Piccadilly,15:00.0,45:00.0,45:00.0,On-time,NULL
9670,9672,2/4/2024,London Paddington,Reading,15:00.0,15:00.0,15:00.0,On-time,NULL
9671,9673,2/28/2024,Reading,Birmingham New Street,30:00.0,30:00.0,30:00.0,On-time,NULL
9672,9674,2/3/2024,Manchester Piccadilly,Liverpool Lime Street,30:00.0,00:00.0,00:00.0,On-time,NULL
9673,9675,2/3/2024,Birmingham New Street,Liverpool Lime Street,30:00.0,00:00.0,00:00.0,On-time,NULL
9674,9676,2/11/2024,London Euston,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
9675,9677,2/4/2024,Birmingham New Street,York,30:00.0,15:00.0,15:00.0,On-time,NULL
9676,9678,2/10/2024,London Kings Cross,York,30:00.0,20:00.0,20:00.0,On-time,NULL
9677,9679,2/4/2024,London Euston,Birmingham New Street,30:00.0,50:00.0,50:00.0,On-time,NULL
9678,9680,2/4/2024,London Paddington,Reading,30:00.0,30:00.0,30:00.0,On-time,NULL
9679,9681,2/3/2024,London Paddington,Reading,30:00.0,30:00.0,30:00.0,On-time,NULL
9680,9682,2/27/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9681,9683,2/4/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9682,9684,2/15/2024,Birmingham New Street,London Euston,45:00.0,05:00.0,05:00.0,On-time,NULL
9683,9685,2/4/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9684,9686,2/13/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9685,9687,2/10/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9686,9688,2/24/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
9687,9689,2/25/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9688,9690,2/15/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9689,9691,2/4/2024,Liverpool Lime Street,Crewe,45:00.0,20:00.0,20:00.0,On-time,NULL
9690,9692,2/9/2024,Liverpool Lime Street,Crewe,45:00.0,20:00.0,20:00.0,On-time,NULL
9691,9693,2/4/2024,Birmingham New Street,Nuneaton,45:00.0,05:00.0,05:00.0,On-time,NULL
9692,9694,2/23/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9693,9695,2/9/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9694,9696,2/8/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9695,9697,2/4/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
9696,9698,2/4/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9697,9699,2/4/2024,Birmingham New Street,Nuneaton,45:00.0,05:00.0,05:00.0,On-time,NULL
9698,9700,2/24/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9699,9701,2/4/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
9700,9702,2/27/2024,London Kings Cross,York,45:00.0,35:00.0,54:00.0,Delayed,Signal failure
9701,9703,2/15/2024,Birmingham New Street,Stafford,45:00.0,15:00.0,15:00.0,On-time,NULL
9702,9704,2/4/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
9703,9705,2/8/2024,London Kings Cross,York,45:00.0,35:00.0,35:00.0,On-time,NULL
9704,9706,2/12/2024,London Paddington,Reading,45:00.0,45:00.0,45:00.0,On-time,NULL
9705,9707,2/26/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9706,9708,2/5/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9707,9709,2/9/2024,London Paddington,Reading,45:00.0,45:00.0,NULL,Cancelled,Staff Shortage
9708,9710,2/26/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9709,9711,2/18/2024,London St Pancras,Birmingham New Street,45:00.0,05:00.0,05:00.0,On-time,NULL
9710,9712,2/9/2024,Manchester Piccadilly,Liverpool Lime Street,45:00.0,15:00.0,15:00.0,On-time,NULL
9711,9713,2/12/2024,Reading,Swindon,45:00.0,30:00.0,30:00.0,On-time,NULL
